,Angra dos Reis,Aparecida,Arapei,Areias,Atibaia,Bananal,Braganca Paulista,Cacapava,Cachoeira Paulista,Campos do Jordao,Canas,Caraguatatuba,Cruzeiro,Cunha,Extrema,Guaratingueta,Guarulhos,Igarata,Ilhabela,Itajuba,Itatiaia,Jacarei,Jambeiro,Lagoinha,Lorena,Mogi das Cruzes,Monteiro Lobato,Natividade da Serra,Paraibuna,Paraisopolis,Paraty,Pindamonhangaba,Piquete,Porto Real,Potim,Queluz,Redencao da Serra,Roseira,Santa Branca,Santo Antonio do Pinhal,Sao Jose dos Campos,Sao Luiz do Paraitinga,Silveiras,Suzano,Sao Bento do Sapucai,Sao Jose do Barreiro,Sao Sebastiao,Taubate,Tremembe,Ubatuba
Redencao da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
Roseira,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Branca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,18,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antonio do Pinhal,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
Sao Jose dos Campos,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,44,0,0,0,15,20,0,0,0,35,0,30,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Luiz do Paraitinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,59,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,46,0,54
Silveiras,0,0,0,18,0,0,0,0,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Bento do Sapucai,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,25,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
Sao Jose do Barreiro,0,0,12,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Sebastiao,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taubate,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
Tremembe,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Ubatuba,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,73,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
